03/01 06:16:30 AM | # START #
03/01 06:16:30 AM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df_2.csv', debug=False, dropout=0.3, epochs=10, f='/home/killko/.local/share/jupyter/runtime/kernel-68e2c5a1-3542-41f4-b3c7-e1f110eda873.json', gpu=0, hidden_size=100, input_size=[33], layers=8, learning_rate=1e-05, log_freq=30, model_path='./model/drugs-EXP-20200301-061618/drugs-EXP-20200301-061618.model', num_of_layers=1, number_of_layers=1, output_size=[1], samples=20, save='./model/drugs-EXP-20200301-061618', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
03/01 06:16:30 AM | ## Creating model and criterion ##
03/01 06:16:31 AM | ## Getting and possibly pre-processing data ##
03/01 06:16:31 AM | ## Beginning training ##
03/01 06:16:31 AM | ### Start to train weights for 10 epochs #### 
03/01 06:16:31 AM | #### Training weights for epoch 0 #### 
03/01 06:16:31 AM | #### Train: [  1/10] Step 030/4845 MSE 14.8741+-0.00000
03/01 06:16:31 AM | #### Train: [  1/10] Step 060/4845 MSE 13.5565+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 090/4845 MSE 12.5393+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 120/4845 MSE 11.9462+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 150/4845 MSE 10.8076+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 180/4845 MSE 10.1207+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 210/4845 MSE 9.3721+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 240/4845 MSE 8.6684+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 270/4845 MSE 8.1231+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 300/4845 MSE 7.5594+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 330/4845 MSE 7.1029+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 360/4845 MSE 6.6798+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 390/4845 MSE 6.3129+-0.00000
03/01 06:16:32 AM | #### Train: [  1/10] Step 420/4845 MSE 5.9349+-0.00000
