03/01 06:27:52 AM | # START #
03/01 06:27:52 AM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df_2.csv', debug=False, dropout=0.3, epochs=10, f='/home/killko/.local/share/jupyter/runtime/kernel-68e2c5a1-3542-41f4-b3c7-e1f110eda873.json', gpu=0, hidden_size=100, input_size=[33], layers=8, learning_rate=1e-05, log_freq=30, model_path='./model/drugs-EXP-20200301-062740/drugs-EXP-20200301-062740.model', num_of_layers=1, number_of_layers=1, output_size=[1], samples=20, save='./model/drugs-EXP-20200301-062740', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
03/01 06:27:52 AM | ## Creating model and criterion ##
03/01 06:27:53 AM | ## Getting and possibly pre-processing data ##
03/01 06:27:53 AM | ## Beginning training ##
03/01 06:27:53 AM | ### Start to train weights for 10 epochs #### 
03/01 06:27:53 AM | #### Training weights for epoch 0 #### 
03/01 06:27:54 AM | #### Train: [  1/10] Step 030/4845 MSE 19.6505+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 060/4845 MSE 17.8427+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 090/4845 MSE 16.1756+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 120/4845 MSE 14.9002+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 150/4845 MSE 13.7456+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 180/4845 MSE 12.7799+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 210/4845 MSE 11.7449+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 240/4845 MSE 10.8708+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 270/4845 MSE 10.1260+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 300/4845 MSE 9.4399+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 330/4845 MSE 8.8476+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 360/4845 MSE 8.2837+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 390/4845 MSE 7.7861+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 420/4845 MSE 7.3197+-0.00000
03/01 06:27:54 AM | #### Train: [  1/10] Step 450/4845 MSE 6.9034+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 480/4845 MSE 6.5308+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 510/4845 MSE 6.1790+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 540/4845 MSE 5.8621+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 570/4845 MSE 5.5703+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 600/4845 MSE 5.3097+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 630/4845 MSE 5.0707+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 660/4845 MSE 4.8520+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 690/4845 MSE 4.6509+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 720/4845 MSE 4.4649+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 750/4845 MSE 4.2935+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 780/4845 MSE 4.1328+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 810/4845 MSE 3.9839+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 840/4845 MSE 3.8451+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 870/4845 MSE 3.7191+-0.00000
03/01 06:27:55 AM | #### Train: [  1/10] Step 900/4845 MSE 3.5992+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 930/4845 MSE 3.4865+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 960/4845 MSE 3.3800+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 990/4845 MSE 3.2793+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1020/4845 MSE 3.1843+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1050/4845 MSE 3.0966+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1080/4845 MSE 3.0121+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1110/4845 MSE 2.9346+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1140/4845 MSE 2.8594+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1170/4845 MSE 2.7892+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1200/4845 MSE 2.7220+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1230/4845 MSE 2.6577+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1260/4845 MSE 2.5975+-0.00000
03/01 06:27:56 AM | #### Train: [  1/10] Step 1290/4845 MSE 2.5387+-0.00000
