File: 130601.csv(array([0.4365384]), array([1.97737704e-10]))
File: 0408.csv(array([0.61935544]), array([6.18004184e-22]))
File: 010704.csv(array([0.47948655]), array([1.51311158e-12]))
File: 030403.csv(array([0.44432338]), array([8.59139357e-11]))
File: 020604.csv(array([0.19631958]), array([0.00607892]))
File: 030401.csv(array([0.44186995]), array([1.11981701e-10]))
File: 130603.csv(array([0.49849688]), array([1.39561131e-13]))
File: 1502.csv(array([0.32532508]), array([3.68319601e-06]))
File: 080103.csv(array([0.45694679]), array([2.12429123e-11]))
File: 050108.csv(array([0.64999002]), array([1.13171216e-24]))
File: 120202.csv(array([0.22134615]), array([0.00192454]))
File: 1310.csv(array([0.46488023]), array([8.56853873e-12]))
File: 090502.csv(array([-0.09127425]), array([0.20560935]))
File: 08.csv(array([0.70196831]), array([4.08946904e-30]))
File: 1304.csv(array([0.53782132]), array([6.14416331e-16]))
File: 20.csv(array([0.26647528]), array([0.00017284]))
File: 2396.csv(array([0.56568658]), array([8.38086616e-18]))
File: 1106.csv(array([0.51938185]), array([8.53522137e-15]))
File: 010101.csv(array([0.04806401]), array([0.50572265]))
File: 21.csv(array([0.40478173]), array([4.79855753e-09]))
File: 1305.csv(array([0.50404337]), array([6.76865234e-14]))
File: 09.csv(array([0.2798682]), array([7.74385418e-05]))
File: 110303.csv(array([0.33393935]), array([1.95044289e-06]))
File: 090503.csv(array([0.11979257]), array([0.09616616]))
File: 1311.csv(array([6.15468347e-05]), array([0.99932044]))
File: 100104.csv(array([0.73541189]), array([2.75873679e-34]))
File: 010303.csv(array([0.23170285]), array([0.00115103]))
File: 120203.csv(array([0.59139599]), array([1.09532461e-19]))
File: 020203.csv(array([0.67995791]), array([1.13032696e-27]))
File: 050109.csv(array([-0.1566663]), array([0.02914675]))
File: 130602.csv(array([0.30013895]), array([2.119842e-05]))
File: 020603.csv(array([0.35882204]), array([2.78211335e-07]))
File: 2230.csv(array([0.46865338]), array([5.51803074e-12]))
File: 080304.csv(array([0.75394843]), array([6.99557097e-37]))
File: 0802.csv(array([0.57456679]), array([1.95537778e-18]))
File: 010501.csv(array([0.72831056]), array([2.388489e-33]))
File: 19.csv(array([0.4123042]), array([2.3224438e-09]))
File: 1301.csv(array([-0.17846127]), array([0.01278751]))
File: 040901.csv(array([0.71008968]), array([4.50154968e-31]))
File: 130202.csv(array([0.16002228]), array([0.02582513]))
File: 0209.csv(array([0.68996166]), array([9.34382794e-29]))
File: 100302.csv(array([0.31635362]), array([6.99716312e-06]))
File: 1103.csv(array([0.53519037]), array([9.0321547e-16]))
File: 0208.csv(array([0.7085617]), array([6.85762538e-31]))
File: 2345.csv(array([0.27178768]), array([0.00012633]))
File: 100101.csv(array([0.55440794]), array([5.00290512e-17]))
File: 1314.csv(array([0.31150077]), array([9.81696987e-06]))
File: 041001.csv(array([0.21160598]), array([0.00305749]))
File: 0803.csv(array([0.75207151]), array([1.31242767e-36]))
File: 090102.csv(array([0.201032]), array([0.00494325]))
File: 010702.csv(array([0.55086526]), array([8.64870468e-17]))
File: 020602.csv(array([0.68253306]), array([6.00664742e-28]))
File: 0801.csv(array([0.36014264]), array([2.49705998e-07]))
File: 041003.csv(array([-0.1242304]), array([0.08437639]))
File: 010502.csv(array([0.55631319]), array([3.71708134e-17]))
File: 080105.csv(array([0.2561565]), array([0.000312]))
File: 020204.csv(array([0.42796036]), array([4.83623065e-10]))
File: 1302.csv(array([0.24471538]), array([0.00058408]))
File: 100103.csv(array([0.60709212]), array([6.37586728e-21]))
File: 090504.csv(array([0.071324]), array([0.32302162]))
File: 040902.csv(array([0.19177082]), array([0.00739074]))
File: 2390.csv(array([0.20728447]), array([0.00373109]))
File: 130201.csv(array([0.2376295]), array([0.00084894]))
File: 2346.csv(array([0.24946886]), array([0.00045171]))
File: 2385.csv(array([0.4065382]), array([4.05712302e-09]))
File: 040903.csv(array([0.2195724]), array([0.0020969]))
File: 100102.csv(array([0.44711157]), array([6.3410164e-11]))
File: 010305.csv(array([0.69335475]), array([3.9198079e-29]))
File: 1303.csv(array([0.27918876]), array([8.07387867e-05]))
File: 010503.csv(array([nan]), array([nan]))
File: 041002.csv(array([0.19883648]), array([0.00544626]))
File: 010701.csv(array([0.02046189]), array([0.77703198]))
File: 090101.csv(array([0.14175769]), array([0.04864791]))
File: 020601.csv(array([0.47229439]), array([3.59024642e-12]))
File: 050102.csv(array([0.51177405]), array([2.41486401e-14]))
File: 0602.csv(array([0.72335549]), array([1.03481039e-32]))
File: 070403.csv(array([0.36439737]), array([1.75683852e-07]))
File: 02.csv(array([0.71560756]), array([9.6204791e-32]))
File: 040701.csv(array([0.5366379]), array([7.30985471e-16]))
File: 0206.csv(array([0.67462959]), array([4.09743791e-27]))
File: 0212.csv(array([0.70298695]), array([3.11352195e-30]))
File: 0207.csv(array([0.33259188]), array([2.15712783e-06]))
File: 131106.csv(array([0.02301817]), array([0.75004781]))
File: 03.csv(array([0.50228442]), array([8.52667247e-14]))
File: 2148.csv(array([0.34084711]), array([1.15508791e-06]))
File: 070402.csv(array([0.68946371]), array([1.06035928e-28]))
File: 2014.csv(array([0.40580662]), array([4.35140543e-09]))
File: 0603.csv(array([0.70277169]), array([3.29851051e-30]))
File: 150103.csv(array([0.19485035]), array([0.00647788]))
File: 040304.csv(array([0.66125243]), array([9.25668416e-26]))
File: 050103.csv(array([0.64562202]), array([2.90510662e-24]))
File: 0401.csv(array([0.61219638]), array([2.4436294e-21]))
File: 2202.csv(array([0.10684612]), array([0.13812097]))
File: 020802.csv(array([0.70846684]), array([7.0385493e-31]))
File: 1904.csv(array([0.01471367]), array([0.83864712]))
File: 060201.csv(array([0.72325338]), array([1.06619363e-32]))
File: 1906.csv(array([-0.29479558]), array([3.01145828e-05]))
File: 0403.csv(array([0.69236565]), array([5.05564966e-29]))
File: 050101.csv(array([0.55577992]), array([4.04014785e-17]))
File: 0601.csv(array([0.43343617]), array([2.74041161e-10]))
File: 2002.csv(array([0.30871365]), array([1.18925761e-05]))
File: 01.csv(array([0.60668595]), array([6.87639919e-21]))
File: 15.csv(array([0.37744524]), array([5.78737845e-08]))
File: 131104.csv(array([-0.02245922]), array([0.75592356]))
File: 040702.csv(array([0.54584866]), array([1.85700693e-16]))
File: 2360.csv(array([0.45385593]), array([3.0068343e-11]))
File: 0211.csv(array([0.44257039]), array([1.03844821e-10]))
File: 14.csv(array([0.71054215]), array([3.9719132e-31]))
File: 040501.csv(array([-0.0885131]), array([0.21971438]))
File: 070401.csv(array([0.70899945]), array([6.08024407e-31]))
File: 2003.csv(array([0.34143761]), array([1.10384996e-06]))
File: 020801.csv(array([0.48967129]), array([4.29804245e-13]))
File: 0402.csv(array([0.40831671]), array([3.41963448e-09]))
File: 050302.csv(array([0.63897498]), array([1.1846161e-23]))
File: 010901.csv(array([0.595496]), array([5.28982479e-20]))
File: 1907.csv(array([0.56769245]), array([6.05587235e-18]))
File: 060202.csv(array([0.3359871]), array([1.67209191e-06]))
File: 0406.csv(array([0.57498055]), array([1.82521351e-18]))
File: 2205.csv(array([0.42258533]), array([8.36382496e-10]))
File: 040101.csv(array([0.60752362]), array([5.88327437e-21]))
File: 0604.csv(array([0.7336553]), array([4.73571504e-34]))
File: 150104.csv(array([0.65686688]), array([2.48524507e-25]))
File: 050110.csv(array([0.32472878]), array([3.8461538e-06]))
File: 040303.csv(array([0.7092197]), array([5.72260237e-31]))
File: 050104.csv(array([0.03062146]), array([0.67167464]))
File: 060602.csv(array([0.70480799]), array([1.90677894e-30]))
File: 070405.csv(array([0.60831731]), array([5.07282044e-21]))
File: 1308.csv(array([0.52981107]), array([1.96526823e-15]))
File: 10.csv(array([0.58073909]), array([6.92671503e-19]))
File: 050501.csv(array([0.09430528]), array([0.19089065]))
File: 2370.csv(array([0.23397669]), array([0.00102506]))
File: 0201.csv(array([0.65677024]), array([2.53945669e-25]))
File: 060401.csv(array([0.71115026]), array([3.35562824e-31]))
File: 11.csv(array([0.56053698]), array([1.91080681e-17]))
File: 05.csv(array([0.67883294]), array([1.4868724e-27]))
File: 1309.csv(array([0.18461794]), array([0.00996611]))
File: 050105.csv(array([0.56717947]), array([6.58196635e-18]))
File: 040302.csv(array([0.34127671]), array([1.11759195e-06]))
File: 050111.csv(array([0.54517107]), array([2.05690689e-16]))
File: 130801.csv(array([0.53615605]), array([7.84410753e-16]))
File: 2012.csv(array([0.12328743]), array([0.08677921]))
File: 0605.csv(array([0.64008952]), array([9.38148484e-24]))
File: 070202.csv(array([0.28574549]), array([5.37284262e-05]))
File: 0407.csv(array([0.55722396]), array([3.2228092e-17]))
File: 010904.csv(array([0.67730183]), array([2.15516278e-27]))
File: 1902.csv(array([0.23100931]), array([0.00119219]))
File: 0411.csv(array([1.]), 0.0)
File: 0405.csv(array([-0.09228113]), array([0.20063185]))
File: 040102.csv(array([0.56783007]), array([5.92188848e-18]))
File: 2004.csv(array([0.15966676]), array([0.0261609]))
File: 0607.csv(array([0.32768384]), array([3.10069695e-06]))
File: 2010.csv(array([0.26432943]), array([0.00019582]))
File: 050107.csv(array([0.44195689]), array([1.10939043e-10]))
File: 050113.csv(array([0.67151619]), array([8.5889512e-27]))
File: 070406.csv(array([-0.12057224]), array([0.09400507]))
File: 13.csv(array([0.23436374]), array([0.00100492]))
File: 07.csv(array([0.72128446]), array([1.89193052e-32]))
File: 131102.csv(array([-0.00537699]), array([0.94068471]))
File: 0203.csv(array([0.62850655]), array([1.01193875e-22]))
File: 040704.csv(array([0.52237601]), array([5.62781265e-15]))
File: 1108.csv(array([0.49718253]), array([1.65351171e-13]))
File: 0202.csv(array([0.70121696]), array([4.99676386e-30]))
File: 060402.csv(array([0.66017859]), array([1.18071084e-25]))
File: 131103.csv(array([0.04544394]), array([0.52922103]))
File: 06.csv(array([0.60837875]), array([5.01485525e-21]))
File: 12.csv(array([0.3351363]), array([1.78280207e-06]))
File: 131301.csv(array([0.18265351]), array([0.01079986]))
File: 040301.csv(array([0.61222484]), array([2.4304811e-21]))
File: 050112.csv(array([0.53385515]), array([1.09687333e-15]))
File: 150106.csv(array([nan]), array([nan]))
