02/29 09:06:00 PM | # START #
02/29 09:06:06 PM | #### Train: [  1/100] Step 1770/3950 MSE 0.0448+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1800/3950 MSE 0.0442+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1830/3950 MSE 0.0436+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1860/3950 MSE 0.0431+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1890/3950 MSE 0.0425+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1920/3950 MSE 0.0420+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1950/3950 MSE 0.0414+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 1980/3950 MSE 0.0409+-0.00000
02/29 09:06:06 PM | #### Train: [  1/100] Step 2010/3950 MSE 0.0405+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2040/3950 MSE 0.0400+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2070/3950 MSE 0.0395+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2100/3950 MSE 0.0391+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2130/3950 MSE 0.0386+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2160/3950 MSE 0.0382+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2190/3950 MSE 0.0378+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2220/3950 MSE 0.0374+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2250/3950 MSE 0.0370+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2280/3950 MSE 0.0367+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2310/3950 MSE 0.0363+-0.00000
02/29 09:06:07 PM | #### Train: [  1/100] Step 2340/3950 MSE 0.0360+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2370/3950 MSE 0.0356+-0.00000
