02/29 11:54:26 PM | # START #
02/29 11:54:26 PM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df_2.csv', debug=False, dropout=0.3, epochs=100, f='/home/killko/.local/share/jupyter/runtime/kernel-fea49255-0cf2-4839-a856-a145aadab768.json', gpu=0, hidden_size=300, input_size=[33], layers=8, learning_rate=0.001, log_freq=30, model_path='./model/drugs-EXP-20200229-235351/drugs-EXP-20200229-235351.model', num_of_layers=1, number_of_layers=1, output_size=[1], samples=20, save='./model/drugs-EXP-20200229-235351', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
02/29 11:54:26 PM | ## Creating model and criterion ##
02/29 11:54:27 PM | ## Getting and possibly pre-processing data ##
02/29 11:54:27 PM | ## Beginning training ##
02/29 11:54:27 PM | ### Start to train weights for 100 epochs #### 
02/29 11:54:27 PM | #### Training weights for epoch 0 #### 
02/29 11:54:27 PM | #### Train: [  1/100] Step 030/3910 MSE 1.6225+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 060/3910 MSE 0.8452+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 090/3910 MSE 0.5732+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 120/3910 MSE 0.4359+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 150/3910 MSE 0.3532+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 180/3910 MSE 0.2981+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 210/3910 MSE 0.2585+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 240/3910 MSE 0.2288+-0.00000
02/29 11:54:27 PM | #### Train: [  1/100] Step 270/3910 MSE 0.2056+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 300/3910 MSE 0.1871+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 330/3910 MSE 0.1719+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 360/3910 MSE 0.1592+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 390/3910 MSE 0.1484+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 420/3910 MSE 0.1393+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 450/3910 MSE 0.1313+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 480/3910 MSE 0.1244+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 510/3910 MSE 0.1183+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 540/3910 MSE 0.1128+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 570/3910 MSE 0.1080+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 600/3910 MSE 0.1036+-0.00000
02/29 11:54:28 PM | #### Train: [  1/100] Step 630/3910 MSE 0.0996+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 660/3910 MSE 0.0960+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 690/3910 MSE 0.0927+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 720/3910 MSE 0.0896+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 750/3910 MSE 0.0869+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 780/3910 MSE 0.0842+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 810/3910 MSE 0.0818+-0.00000
02/29 11:54:29 PM | #### Train: [  1/100] Step 840/3910 MSE 0.0796+-0.00000
