03/01 12:06:08 AM | # START #
03/01 12:06:08 AM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df_2.csv', debug=False, dropout=0.3, epochs=100, f='/home/killko/.local/share/jupyter/runtime/kernel-fea49255-0cf2-4839-a856-a145aadab768.json', gpu=0, hidden_size=300, input_size=[33], layers=8, learning_rate=0.001, log_freq=30, model_path='./model/drugs-EXP-20200301-000533/drugs-EXP-20200301-000533.model', num_of_layers=1, number_of_layers=4, output_size=[1], samples=20, save='./model/drugs-EXP-20200301-000533', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
03/01 12:06:08 AM | ## Creating model and criterion ##
03/01 12:06:10 AM | ## Getting and possibly pre-processing data ##
03/01 12:06:10 AM | ## Beginning training ##
03/01 12:06:10 AM | ### Start to train weights for 100 epochs #### 
03/01 12:06:10 AM | #### Training weights for epoch 0 #### 
03/01 12:06:10 AM | #### Train: [  1/100] Step 030/3910 MSE 1.6225+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 060/3910 MSE 0.8452+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 090/3910 MSE 0.5732+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 120/3910 MSE 0.4359+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 150/3910 MSE 0.3532+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 180/3910 MSE 0.2981+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 210/3910 MSE 0.2585+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 240/3910 MSE 0.2288+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 270/3910 MSE 0.2056+-0.00000
03/01 12:06:10 AM | #### Train: [  1/100] Step 300/3910 MSE 0.1871+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 330/3910 MSE 0.1719+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 360/3910 MSE 0.1592+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 390/3910 MSE 0.1484+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 420/3910 MSE 0.1393+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 450/3910 MSE 0.1313+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 480/3910 MSE 0.1244+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 510/3910 MSE 0.1183+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 540/3910 MSE 0.1128+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 570/3910 MSE 0.1080+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 600/3910 MSE 0.1036+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 630/3910 MSE 0.0996+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 660/3910 MSE 0.0960+-0.00000
03/01 12:06:11 AM | #### Train: [  1/100] Step 690/3910 MSE 0.0927+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 720/3910 MSE 0.0896+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 750/3910 MSE 0.0869+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 780/3910 MSE 0.0842+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 810/3910 MSE 0.0818+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 840/3910 MSE 0.0796+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 870/3910 MSE 0.0775+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 900/3910 MSE 0.0756+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 930/3910 MSE 0.0737+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 960/3910 MSE 0.0720+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 990/3910 MSE 0.0704+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 1020/3910 MSE 0.0689+-0.00000
03/01 12:06:12 AM | #### Train: [  1/100] Step 1050/3910 MSE 0.0675+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1080/3910 MSE 0.0661+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1110/3910 MSE 0.0648+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1140/3910 MSE 0.0636+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1170/3910 MSE 0.0624+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1200/3910 MSE 0.0613+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1230/3910 MSE 0.0602+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1260/3910 MSE 0.0592+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1290/3910 MSE 0.0583+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1320/3910 MSE 0.0574+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1350/3910 MSE 0.0566+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1380/3910 MSE 0.0558+-0.00000
03/01 12:06:13 AM | #### Train: [  1/100] Step 1410/3910 MSE 0.0550+-0.00000
03/01 12:06:14 AM | #### Train: [  1/100] Step 1440/3910 MSE 0.0542+-0.00000
